Date,Year,Month,Month_Name,Day,Day_Name,Day_Of_Week,Day_Type,Is_Weekend,Is_Public_Holiday,Season,Quarter,Region,Hospital,ED_Trolleys,Ward_Trolleys,Total_Trolleys,Surge_Capacity,ED_Occupancy_Pct,Delayed_Transfers,Total_Waiting_24hr,Over75_Waiting_24hr,Precipitation,Precipitation_Category
2023-01-01,2023,1,January,1,Sunday,6,Public Holiday,1,1,Winter,Q1,HSE Dublin & Midlands,MRH Mullingar,11,0,11,11,100.0,1,1,0,104.11,Moderate (100-150mm)
2023-01-01,2023,1,January,1,Sunday,6,Public Holiday,1,1,Winter,Q1,HSE Dublin & Midlands,MRH Tullamore,6,0,6,9,66.7,5,0,0,104.11,Moderate (100-150mm)
2023-01-01,2023,1,January,1,Sunday,6,Public Holiday,1,1,Winter,Q1,HSE Dublin & Midlands,Naas General Hospital,15,15,30,14,107.1,5,0,0,104.11,Moderate (100-150mm)
2023-01-01,2023,1,January,1,Sunday,6,Public Holiday,1,1,Winter,Q1,HSE Dublin & Midlands,St Luke's General Hospital Kilkenny,11,0,11,15,73.3,8,8,0,104.11,Moderate (100-150mm)
2023-01-01,2023,1,January,1,Sunday,6,Public Holiday,1,1,Winter,Q1,HSE Dublin & Midlands,St. James's Hospital,24,0,24,0,,62,5,0,104.11,Moderate (100-150mm)
2023-01-01,2023,1,January,1,Sunday,6,Public Holiday,1,1,Winter,Q1,HSE Dublin & Midlands,St. Vincent's University Hospital,33,0,33,0,,44,10,0,104.11,Moderate (100-150mm)
2023-01-01,2023,1,January,1,Sunday,6,Public Holiday,1,1,Winter,Q1,HSE Dublin & Midlands,Tallaght University Hospital,21,0,21,0,,42,4,0,104.11,Moderate (100-150mm)
2023-01-01,2023,1,January,1,Sunday,6,Public Holiday,1,1,Winter,Q1,HSE Dublin & Midlands,Tipperary University Hospital,6,6,12,2,300.0,1,0,0,104.11,Moderate (100-150mm)
2023-01-01,2023,1,January,1,Sunday,6,Public Holiday,1,1,Winter,Q1,HSE Dublin & North East,Cavan General Hospital,14,1,15,8,175.0,4,0,0,104.11,Moderate (100-150mm)
2023-01-01,2023,1,January,1,Sunday,6,Public Holiday,1,1,Winter,Q1,HSE Dublin & North East,Mater Misericordiae University Hospital,38,38,76,36,105.6,5,0,0,104.11,Moderate (100-150mm)
2023-01-01,2023,1,January,1,Sunday,6,Public Holiday,1,1,Winter,Q1,HSE Dublin & North East,Our Lady of Lourdes Hospital,17,1,18,16,106.2,38,0,0,104.11,Moderate (100-150mm)
2023-01-01,2023,1,January,1,Sunday,6,Public Holiday,1,1,Winter,Q1,HSE Dublin & North East,Our Lady's Hospital Navan,3,0,3,17,17.6,4,0,0,104.11,Moderate (100-150mm)
2023-01-01,2023,1,January,1,Sunday,6,Public Holiday,1,1,Winter,Q1,HSE Dublin & South East,Cork University Hospital,31,0,31,24,129.2,22,2,0,104.11,Moderate (100-150mm)
2023-01-01,2023,1,January,1,Sunday,6,Public Holiday,1,1,Winter,Q1,HSE Dublin & South East,Galway University Hospital,28,2,30,13,215.4,20,4,0,104.11,Moderate (100-150mm)
2023-01-01,2023,1,January,1,Sunday,6,Public Holiday,1,1,Winter,Q1,HSE Dublin & South East,Letterkenny University Hospital,15,15,30,22,68.2,3,0,0,104.11,Moderate (100-150mm)
2023-01-01,2023,1,January,1,Sunday,6,Public Holiday,1,1,Winter,Q1,HSE Dublin & South East,Mercy University Hospital,25,0,25,8,312.5,19,11,0,104.11,Moderate (100-150mm)
2023-01-01,2023,1,January,1,Sunday,6,Public Holiday,1,1,Winter,Q1,HSE Dublin & South East,UH Kerry,23,23,46,12,191.7,5,0,0,104.11,Moderate (100-150mm)
2023-01-01,2023,1,January,1,Sunday,6,Public Holiday,1,1,Winter,Q1,HSE Dublin & South East,UH Limerick,36,12,48,37,97.3,19,14,0,104.11,Moderate (100-150mm)
2023-01-01,2023,1,January,1,Sunday,6,Public Holiday,1,1,Winter,Q1,HSE Dublin & South East,Wexford General Hospital,13,1,14,21,61.9,12,1,0,104.11,Moderate (100-150mm)
2023-01-01,2023,1,January,1,Sunday,6,Public Holiday,1,1,Winter,Q1,HSE West & North West,Portiuncula University Hospital,9,0,9,13,69.2,4,1,26,104.11,Moderate (100-150mm)
2023-01-01,2023,1,January,1,Sunday,6,Public Holiday,1,1,Winter,Q1,HSE West & North West,Sligo University Hospital,26,26,52,10,260.0,9,0,0,104.11,Moderate (100-150mm)
2023-01-02,2023,1,January,2,Monday,0,Weekday,0,0,Winter,Q1,HSE Dublin & Midlands,MRH Mullingar,10,0,10,11,90.9,1,0,0,104.11,Moderate (100-150mm)
2023-01-02,2023,1,January,2,Monday,0,Weekday,0,0,Winter,Q1,HSE Dublin & Midlands,MRH Portlaoise,6,0,6,11,54.5,5,0,0,104.11,Moderate (100-150mm)
2023-01-02,2023,1,January,2,Monday,0,Weekday,0,0,Winter,Q1,HSE Dublin & Midlands,Naas General Hospital,31,31,62,14,221.4,11,0,0,104.11,Moderate (100-150mm)
2023-01-02,2023,1,January,2,Monday,0,Weekday,0,0,Winter,Q1,HSE Dublin & Midlands,St Luke's General Hospital Kilkenny,12,6,18,21,57.1,8,4,0,104.11,Moderate (100-150mm)
2023-01-02,2023,1,January,2,Monday,0,Weekday,0,0,Winter,Q1,HSE Dublin & Midlands,St. James's Hospital,23,0,23,0,,62,3,0,104.11,Moderate (100-150mm)
2023-01-02,2023,1,January,2,Monday,0,Weekday,0,0,Winter,Q1,HSE Dublin & Midlands,St. Vincent's University Hospital,48,0,48,0,,44,14,0,104.11,Moderate (100-150mm)
2023-01-02,2023,1,January,2,Monday,0,Weekday,0,0,Winter,Q1,HSE Dublin & Midlands,Tallaght University Hospital,22,0,22,0,,42,6,0,104.11,Moderate (100-150mm)
2023-01-02,2023,1,January,2,Monday,0,Weekday,0,0,Winter,Q1,HSE Dublin & Midlands,Tipperary University Hospital,8,0,8,27,29.6,2,1,0,104.11,Moderate (100-150mm)
2023-01-02,2023,1,January,2,Monday,0,Weekday,0,0,Winter,Q1,HSE Dublin & North East,Cavan General Hospital,25,2,27,10,250.0,4,3,0,104.11,Moderate (100-150mm)
2023-01-02,2023,1,January,2,Monday,0,Weekday,0,0,Winter,Q1,HSE Dublin & North East,Mater Misericordiae University Hospital,41,41,82,36,113.9,17,0,0,104.11,Moderate (100-150mm)
2023-01-02,2023,1,January,2,Monday,0,Weekday,0,0,Winter,Q1,HSE Dublin & North East,Our Lady of Lourdes Hospital,21,3,24,30,70.0,38,3,0,104.11,Moderate (100-150mm)
2023-01-02,2023,1,January,2,Monday,0,Weekday,0,0,Winter,Q1,HSE Dublin & North East,Our Lady's Hospital Navan,1,0,1,20,5.0,4,0,0,104.11,Moderate (100-150mm)
