Date,Total_Trolleys,Region,Hospital,day_of_week,month,is_weekend,is_monday,season,is_winter,precipitation,has_rain,is_public_holiday,surge_capacity,region_HSE Dublin & Midlands,region_HSE Dublin & North East,region_HSE Dublin & South East,region_HSE Mid West,region_HSE South West,region_HSE West & North West
2024-01-29,3,HSE Dublin & Midlands,CHI at Tallaght,0,1,0,1,0,1,91.29,1,1,0.8949044585987261,True,False,False,False,False,False
2024-01-30,1,HSE Dublin & Midlands,CHI at Tallaght,1,1,0,0,0,1,91.29,1,1,0.8949044585987261,True,False,False,False,False,False
2024-01-31,3,HSE Dublin & Midlands,CHI at Tallaght,2,1,0,0,0,1,91.29,1,1,0.8949044585987261,True,False,False,False,False,False
2024-02-01,0,HSE Dublin & Midlands,CHI at Tallaght,3,2,0,0,0,1,117.52,1,1,0.8949044585987261,True,False,False,False,False,False
2024-02-26,6,HSE Dublin & Midlands,CHI at Tallaght,0,2,0,1,0,1,117.52,1,1,0.8949044585987261,True,False,False,False,False,False
2024-03-11,1,HSE Dublin & Midlands,CHI at Tallaght,0,3,0,1,1,0,127.42,1,1,0.8949044585987261,True,False,False,False,False,False
2024-03-12,1,HSE Dublin & Midlands,CHI at Tallaght,1,3,0,0,1,0,127.42,1,1,0.8949044585987261,True,False,False,False,False,False
2024-03-13,0,HSE Dublin & Midlands,CHI at Tallaght,2,3,0,0,1,0,127.42,1,1,0.8949044585987261,True,False,False,False,False,False
2024-03-15,5,HSE Dublin & Midlands,CHI at Tallaght,4,3,0,0,1,0,127.42,1,1,0.8949044585987261,True,False,False,False,False,False
2024-03-16,0,HSE Dublin & Midlands,CHI at Tallaght,5,3,1,0,1,0,127.42,1,1,0.8949044585987261,True,False,False,False,False,False
2024-03-19,7,HSE Dublin & Midlands,CHI at Tallaght,1,3,0,0,1,0,127.42,1,1,0.8949044585987261,True,False,False,False,False,False
2024-03-21,0,HSE Dublin & Midlands,CHI at Tallaght,3,3,0,0,1,0,127.42,1,1,0.8949044585987261,True,False,False,False,False,False
2024-03-23,0,HSE Dublin & Midlands,CHI at Tallaght,5,3,1,0,1,0,127.42,1,1,0.8949044585987261,True,False,False,False,False,False
2024-04-02,1,HSE Dublin & Midlands,CHI at Tallaght,1,4,0,0,1,0,87.74,1,1,0.8949044585987261,True,False,False,False,False,False
2024-04-03,1,HSE Dublin & Midlands,CHI at Tallaght,2,4,0,0,1,0,87.74,1,1,0.8949044585987261,True,False,False,False,False,False
2024-04-08,5,HSE Dublin & Midlands,CHI at Tallaght,0,4,0,1,1,0,87.74,1,1,0.8949044585987261,True,False,False,False,False,False
2024-04-10,5,HSE Dublin & Midlands,CHI at Tallaght,2,4,0,0,1,0,87.74,1,1,0.8949044585987261,True,False,False,False,False,False
2024-04-12,2,HSE Dublin & Midlands,CHI at Tallaght,4,4,0,0,1,0,87.74,1,1,0.8949044585987261,True,False,False,False,False,False
2024-04-17,0,HSE Dublin & Midlands,CHI at Tallaght,2,4,0,0,1,0,87.74,1,1,0.8949044585987261,True,False,False,False,False,False
2024-04-18,0,HSE Dublin & Midlands,CHI at Tallaght,3,4,0,0,1,0,87.74,1,1,0.8949044585987261,True,False,False,False,False,False
2024-04-19,0,HSE Dublin & Midlands,CHI at Tallaght,4,4,0,0,1,0,87.74,1,1,0.8949044585987261,True,False,False,False,False,False
2024-04-25,0,HSE Dublin & Midlands,CHI at Tallaght,3,4,0,0,1,0,87.74,1,1,0.8949044585987261,True,False,False,False,False,False
2024-04-26,1,HSE Dublin & Midlands,CHI at Tallaght,4,4,0,0,1,0,87.74,1,1,0.8949044585987261,True,False,False,False,False,False
2024-04-28,1,HSE Dublin & Midlands,CHI at Tallaght,6,4,1,0,1,0,87.74,1,1,0.8949044585987261,True,False,False,False,False,False
2024-05-01,0,HSE Dublin & Midlands,CHI at Tallaght,2,5,0,0,1,0,60.43,1,1,0.8949044585987261,True,False,False,False,False,False
2024-05-04,0,HSE Dublin & Midlands,CHI at Tallaght,5,5,1,0,1,0,60.43,1,1,0.8949044585987261,True,False,False,False,False,False
2024-05-05,0,HSE Dublin & Midlands,CHI at Tallaght,6,5,1,0,1,0,60.43,1,1,0.8949044585987261,True,False,False,False,False,False
2024-05-09,0,HSE Dublin & Midlands,CHI at Tallaght,3,5,0,0,1,0,60.43,1,1,0.8949044585987261,True,False,False,False,False,False
2024-05-11,0,HSE Dublin & Midlands,CHI at Tallaght,5,5,1,0,1,0,60.43,1,1,0.8949044585987261,True,False,False,False,False,False
2024-05-12,0,HSE Dublin & Midlands,CHI at Tallaght,6,5,1,0,1,0,60.43,1,1,0.8949044585987261,True,False,False,False,False,False
2024-05-16,3,HSE Dublin & Midlands,CHI at Tallaght,3,5,0,0,1,0,60.43,1,1,0.8949044585987261,True,False,False,False,False,False
2024-05-17,2,HSE Dublin & Midlands,CHI at Tallaght,4,5,0,0,1,0,60.43,1,1,0.8949044585987261,True,False,False,False,False,False
2024-05-25,1,HSE Dublin & Midlands,CHI at Tallaght,5,5,1,0,1,0,60.43,1,1,0.8949044585987261,True,False,False,False,False,False
2024-05-27,1,HSE Dublin & Midlands,CHI at Tallaght,0,5,0,1,1,0,60.43,1,1,0.8949044585987261,True,False,False,False,False,False
2024-05-28,1,HSE Dublin & Midlands,CHI at Tallaght,1,5,0,0,1,0,60.43,1,1,0.8949044585987261,True,False,False,False,False,False
2024-05-31,1,HSE Dublin & Midlands,CHI at Tallaght,4,5,0,0,1,0,60.43,1,1,0.8949044585987261,True,False,False,False,False,False
2024-06-02,1,HSE Dublin & Midlands,CHI at Tallaght,6,6,1,0,2,0,47.71,1,1,0.8949044585987261,True,False,False,False,False,False
2024-06-03,0,HSE Dublin & Midlands,CHI at Tallaght,0,6,0,1,2,0,47.71,1,1,0.8949044585987261,True,False,False,False,False,False
2024-06-05,0,HSE Dublin & Midlands,CHI at Tallaght,2,6,0,0,2,0,47.71,1,1,0.8949044585987261,True,False,False,False,False,False
2024-06-06,0,HSE Dublin & Midlands,CHI at Tallaght,3,6,0,0,2,0,47.71,1,1,0.8949044585987261,True,False,False,False,False,False
2024-06-07,0,HSE Dublin & Midlands,CHI at Tallaght,4,6,0,0,2,0,47.71,1,1,0.8949044585987261,True,False,False,False,False,False
2024-06-10,0,HSE Dublin & Midlands,CHI at Tallaght,0,6,0,1,2,0,47.71,1,1,0.8949044585987261,True,False,False,False,False,False
2024-06-12,0,HSE Dublin & Midlands,CHI at Tallaght,2,6,0,0,2,0,47.71,1,1,0.8949044585987261,True,False,False,False,False,False
2024-06-14,0,HSE Dublin & Midlands,CHI at Tallaght,4,6,0,0,2,0,47.71,1,1,0.8949044585987261,True,False,False,False,False,False
2024-06-16,0,HSE Dublin & Midlands,CHI at Tallaght,6,6,1,0,2,0,47.71,1,1,0.8949044585987261,True,False,False,False,False,False
2024-06-17,0,HSE Dublin & Midlands,CHI at Tallaght,0,6,0,1,2,0,47.71,1,1,0.8949044585987261,True,False,False,False,False,False
2024-06-19,1,HSE Dublin & Midlands,CHI at Tallaght,2,6,0,0,2,0,47.71,1,1,0.8949044585987261,True,False,False,False,False,False
2024-06-27,1,HSE Dublin & Midlands,CHI at Tallaght,3,6,0,0,2,0,47.71,1,1,0.8949044585987261,True,False,False,False,False,False
2024-06-29,0,HSE Dublin & Midlands,CHI at Tallaght,5,6,1,0,2,0,47.71,1,1,0.8949044585987261,True,False,False,False,False,False
2024-07-02,0,HSE Dublin & Midlands,CHI at Tallaght,1,7,0,0,2,0,59.84,1,1,0.8949044585987261,True,False,False,False,False,False
2024-07-03,1,HSE Dublin & Midlands,CHI at Tallaght,2,7,0,0,2,0,59.84,1,1,0.8949044585987261,True,False,False,False,False,False
2024-07-04,0,HSE Dublin & Midlands,CHI at Tallaght,3,7,0,0,2,0,59.84,1,1,0.8949044585987261,True,False,False,False,False,False
2024-07-08,1,HSE Dublin & Midlands,CHI at Tallaght,0,7,0,1,2,0,59.84,1,1,0.8949044585987261,True,False,False,False,False,False
2024-07-09,1,HSE Dublin & Midlands,CHI at Tallaght,1,7,0,0,2,0,59.84,1,1,0.8949044585987261,True,False,False,False,False,False
2024-07-11,0,HSE Dublin & Midlands,CHI at Tallaght,3,7,0,0,2,0,59.84,1,1,0.8949044585987261,True,False,False,False,False,False
2024-07-12,0,HSE Dublin & Midlands,CHI at Tallaght,4,7,0,0,2,0,59.84,1,1,0.8949044585987261,True,False,False,False,False,False
2024-07-14,0,HSE Dublin & Midlands,CHI at Tallaght,6,7,1,0,2,0,59.84,1,1,0.8949044585987261,True,False,False,False,False,False
2024-07-15,0,HSE Dublin & Midlands,CHI at Tallaght,0,7,0,1,2,0,59.84,1,1,0.8949044585987261,True,False,False,False,False,False
2024-07-16,0,HSE Dublin & Midlands,CHI at Tallaght,1,7,0,0,2,0,59.84,1,1,0.8949044585987261,True,False,False,False,False,False
2024-07-18,1,HSE Dublin & Midlands,CHI at Tallaght,3,7,0,0,2,0,59.84,1,1,0.8949044585987261,True,False,False,False,False,False
2024-07-19,1,HSE Dublin & Midlands,CHI at Tallaght,4,7,0,0,2,0,59.84,1,1,0.8949044585987261,True,False,False,False,False,False
2024-07-20,0,HSE Dublin & Midlands,CHI at Tallaght,5,7,1,0,2,0,59.84,1,1,0.8949044585987261,True,False,False,False,False,False
2024-07-21,0,HSE Dublin & Midlands,CHI at Tallaght,6,7,1,0,2,0,59.84,1,1,0.8949044585987261,True,False,False,False,False,False
2024-07-23,1,HSE Dublin & Midlands,CHI at Tallaght,1,7,0,0,2,0,59.84,1,1,0.8949044585987261,True,False,False,False,False,False
2024-07-24,0,HSE Dublin & Midlands,CHI at Tallaght,2,7,0,0,2,0,59.84,1,1,0.8949044585987261,True,False,False,False,False,False
2024-07-25,0,HSE Dublin & Midlands,CHI at Tallaght,3,7,0,0,2,0,59.84,1,1,0.8949044585987261,True,False,False,False,False,False
2024-07-27,0,HSE Dublin & Midlands,CHI at Tallaght,5,7,1,0,2,0,59.84,1,1,0.8949044585987261,True,False,False,False,False,False
2024-07-28,0,HSE Dublin & Midlands,CHI at Tallaght,6,7,1,0,2,0,59.84,1,1,0.8949044585987261,True,False,False,False,False,False
2024-07-29,1,HSE Dublin & Midlands,CHI at Tallaght,0,7,0,1,2,0,59.84,1,1,0.8949044585987261,True,False,False,False,False,False
2024-07-30,0,HSE Dublin & Midlands,CHI at Tallaght,1,7,0,0,2,0,59.84,1,1,0.8949044585987261,True,False,False,False,False,False
2024-07-31,0,HSE Dublin & Midlands,CHI at Tallaght,2,7,0,0,2,0,59.84,1,1,0.8949044585987261,True,False,False,False,False,False
2024-08-02,1,HSE Dublin & Midlands,CHI at Tallaght,4,8,0,0,2,0,107.63,1,1,0.8949044585987261,True,False,False,False,False,False
2024-08-04,2,HSE Dublin & Midlands,CHI at Tallaght,6,8,1,0,2,0,107.63,1,1,0.8949044585987261,True,False,False,False,False,False
2024-08-06,0,HSE Dublin & Midlands,CHI at Tallaght,1,8,0,0,2,0,107.63,1,1,0.8949044585987261,True,False,False,False,False,False
